FID,OBJECTID,SHAPE,BASIS_TYP_TXT,BASIS_TYP,SE_ANNO_CAD_DATA
TRINKBRUNNENOGD.fid-7573fe0d_18102351456_-2e0,3169988,POINT (16.38173358399456 48.17757961053254),Auslaufbrunnen mit Tränke,17,
TRINKBRUNNENOGD.fid-7573fe0d_18102351456_-2df,3169989,POINT (16.322801113492673 48.197312894521126),Auslaufbrunnen mit Tränke,17,
TRINKBRUNNENOGD.fid-7573fe0d_18102351456_-2de,3169990,POINT (16.402278670633663 48.23383013265123),Trinkhydrant mit Tränke,18,
TRINKBRUNNENOGD.fid-7573fe0d_18102351456_-2dd,3169991,POINT (16.39724780954413 48.23828579829127),Trinkhydrant mit Tränke,18,
TRINKBRUNNENOGD.fid-7573fe0d_18102351456_-2dc,3169992,POINT (16.25315478352503 48.19847169203764),Trinkhydrant mit Tränke,18,
TRINKBRUNNENOGD.fid-7573fe0d_18102351456_-2db,3169993,POINT (16.36906164432154 48.229128517828286),Trinkhydrant mit Tränke,18,
TRINKBRUNNENOGD.fid-7573fe0d_18102351456_-2da,3169994,POINT (16.40280227601798 48.25470009454236),Trinkhydrant mit Tränke,18,
TRINKBRUNNENOGD.fid-7573fe0d_18102351456_-2d9,3169995,POINT (16.404926758314588 48.253800705506094),Trinkhydrant mit Tränke,18,
TRINKBRUNNENOGD.fid-7573fe0d_18102351456_-2d8,3169996,POINT (16.255817862846595 48.15963993684092),Auslaufbrunnen mit Tränke,17,
TRINKBRUNNENOGD.fid-7573fe0d_18102351456_-2d7,3169997,POINT (16.345095379003013 48.20328820486389),Trinkhydrant mit Tränke,18,
TRINKBRUNNENOGD.fid-7573fe0d_18102351456_-2d6,3169998,POINT (16.34497437095486 48.20447819799787),Trinkhydrant mit Tränke,18,
TRINKBRUNNENOGD.fid-7573fe0d_18102351456_-2d5,3169999,POINT (16.336610303144127 48.275201116021826),Auslaufbrunnen mit Tränke,17,
TRINKBRUNNENOGD.fid-7573fe0d_18102351456_-2d4,3170000,POINT (16.350977407525953 48.19733733151981),Trinkhydrant mit Tränke,18,
TRINKBRUNNENOGD.fid-7573fe0d_18102351456_-2d3,3170001,POINT (16.334409280183756 48.194475830662356),Auslaufbrunnen mit Tränke,17,
TRINKBRUNNENOGD.fid-7573fe0d_18102351456_-2d2,3170002,POINT (16.391878106515854 48.212117577550195),Auslaufbrunnen mit Tränke,17,
TRINKBRUNNENOGD.fid-7573fe0d_18102351456_-2d1,3170003,POINT (16.385292904716334 48.18856818827182),Trinkhydrant mit Tränke,18,
TRINKBRUNNENOGD.fid-7573fe0d_18102351456_-2d0,3170004,POINT (16.354622407217168 48.202251074383256),Trinkhydrant mit Tränke,18,
TRINKBRUNNENOGD.fid-7573fe0d_18102351456_-2cf,3170005,POINT (16.391897669455364 48.192253458101916),Trinkhydrant mit Tränke,18,
TRINKBRUNNENOGD.fid-7573fe0d_18102351456_-2ce,3170006,POINT (16.34751159354151 48.18768637096436),Auslaufbrunnen mit Tränke,17,
TRINKBRUNNENOGD.fid-7573fe0d_18102351456_-2cd,3170007,POINT (16.36397066832968 48.19238017427108),Auslaufbrunnen mit Tränke,17,
TRINKBRUNNENOGD.fid-7573fe0d_18102351456_-2cc,3170008,POINT (16.334879448457688 48.18120053507977),Auslaufbrunnen mit Tränke,17,
TRINKBRUNNENOGD.fid-7573fe0d_18102351456_-2cb,3170009,POINT (16.420840449647745 48.19110974879492),Trinkhydrant mit Tränke,18,
TRINKBRUNNENOGD.fid-7573fe0d_18102351456_-2ca,3170010,POINT (16.321465058627375 48.26365709846148),Trinkhydrant mit Tränke,18,
