FID,OBJECTID,SHAPE,BASIS_TYP_TXT,BASIS_TYP,SE_ANNO_CAD_DATA
TRINKBRUNNENOGD.fid-7573fe0d_18102351456_-657,3169101,POINT (16.41760342731479 48.18319270199555),Trinkbrunnen mit Tränke,5,
TRINKBRUNNENOGD.fid-7573fe0d_18102351456_-656,3169102,POINT (16.418074422670085 48.182391437337124),Trinkbrunnen mit Tränke,5,
TRINKBRUNNENOGD.fid-7573fe0d_18102351456_-655,3169103,POINT (16.38117030933514 48.178357953490575),Trinkbrunnen mit Tränke,5,
TRINKBRUNNENOGD.fid-7573fe0d_18102351456_-654,3169104,POINT (16.383110998970217 48.1791307478798),Trinkbrunnen mit Tränke,5,
TRINKBRUNNENOGD.fid-7573fe0d_18102351456_-653,3169105,POINT (16.386432007836326 48.29153430036015),Trinkbrunnen mit Tränke,5,
TRINKBRUNNENOGD.fid-7573fe0d_18102351456_-652,3169106,POINT (16.350644755389325 48.18612540448205),Trinkbrunnen mit Tränke,5,
TRINKBRUNNENOGD.fid-7573fe0d_18102351456_-651,3169107,POINT (16.33271745501257 48.18927070103015),Trinkbrunnen mit Tränke,5,
TRINKBRUNNENOGD.fid-7573fe0d_18102351456_-650,3169108,POINT (16.294903427926265 48.230586832351655),Trinkbrunnen mit Tränke,5,
TRINKBRUNNENOGD.fid-7573fe0d_18102351456_-64f,3169109,POINT (16.40311964334746 48.188006202138915),Grundwasserbrunnen,1,
TRINKBRUNNENOGD.fid-7573fe0d_18102351456_-64e,3169110,POINT (16.333128518768728 48.18942170377122),Trinkbrunnen mit Tränke,5,
TRINKBRUNNENOGD.fid-7573fe0d_18102351456_-64d,3169111,POINT (16.312912469484917 48.24999306565297),Trinkbrunnen mit Tränke,5,
TRINKBRUNNENOGD.fid-7573fe0d_18102351456_-64c,3169112,POINT (16.328973384512338 48.18988165700128),Trinkbrunnen mit Tränke,5,
TRINKBRUNNENOGD.fid-7573fe0d_18102351456_-64b,3169113,POINT (16.32862583541908 48.189962157683944),Trinkbrunnen mit Tränke,5,
TRINKBRUNNENOGD.fid-7573fe0d_18102351456_-64a,3169114,POINT (16.422328013375836 48.276035633212196),Trinkbrunnen,4,
TRINKBRUNNENOGD.fid-7573fe0d_18102351456_-649,3169115,POINT (16.423744304776008 48.277636444075554),Trinkbrunnen,4,
TRINKBRUNNENOGD.fid-7573fe0d_18102351456_-648,3169116,POINT (16.39082799194716 48.22254087032561),Trinkbrunnen mit Tränke,5,
TRINKBRUNNENOGD.fid-7573fe0d_18102351456_-647,3169117,POINT (16.390700410765582 48.22355235263908),Trinkbrunnen mit Tränke,5,
TRINKBRUNNENOGD.fid-7573fe0d_18102351456_-646,3169118,POINT (16.390742766376125 48.22351106814732),Trinkbrunnen mit Tränke,5,
TRINKBRUNNENOGD.fid-7573fe0d_18102351456_-645,3169119,POINT (16.38915817423282 48.29537876395968),Trinkbrunnen mit Tränke,5,
TRINKBRUNNENOGD.fid-7573fe0d_18102351456_-644,3169120,POINT (16.371263796104987 48.18692081426466),Zierbrunnen,6,
TRINKBRUNNENOGD.fid-7573fe0d_18102351456_-643,3169121,POINT (16.402397572312612 48.225689312111),Trinkbrunnen,4,
TRINKBRUNNENOGD.fid-7573fe0d_18102351456_-642,3169122,POINT (16.3920638923002 48.19179043114411),Trinkbrunnen mit Tränke,5,
TRINKBRUNNENOGD.fid-7573fe0d_18102351456_-641,3169123,POINT (16.393634919216115 48.19007929419479),Trinkbrunnen mit Tränke,5,
TRINKBRUNNENOGD.fid-7573fe0d_18102351456_-640,3169124,POINT (16.326924144869714 48.18975476387031),Trinkbrunnen mit Tränke,5,
TRINKBRUNNENOGD.fid-7573fe0d_18102351456_-63f,3169125,POINT (16.40332640995109 48.187724852575656),Trinkbrunnen,4,
TRINKBRUNNENOGD.fid-7573fe0d_18102351456_-63e,3169126,POINT (16.50249080451681 48.227719775097576),Bodenfontäne,12,
TRINKBRUNNENOGD.fid-7573fe0d_18102351456_-63d,3169127,POINT (16.314689729626178 48.20670708927633),Trinkbrunnen mit Tränke,5,
TRINKBRUNNENOGD.fid-7573fe0d_18102351456_-63c,3169128,POINT (16.314313571835353 48.20642564574914),Trinkbrunnen mit Tränke,5,
TRINKBRUNNENOGD.fid-7573fe0d_18102351456_-63b,3169129,POINT (16.315168224538603 48.206382817158435),Trinkbrunnen mit Tränke,5,
TRINKBRUNNENOGD.fid-7573fe0d_18102351456_-63a,3169130,POINT (16.40269230024394 48.22625994069434),Zierbrunnen,6,
TRINKBRUNNENOGD.fid-7573fe0d_18102351456_-639,3169131,POINT (16.403165053521416 48.22643411327917),Trinkbrunnen,4,
TRINKBRUNNENOGD.fid-7573fe0d_18102351456_-638,3169132,POINT (16.35584189943369 48.21066914066903),Zierbrunnen,6,
TRINKBRUNNENOGD.fid-7573fe0d_18102351456_-637,3169133,POINT (16.348227781508804 48.1951721546592),Zierbrunnen,6,
TRINKBRUNNENOGD.fid-7573fe0d_18102351456_-636,3169134,POINT (16.34878421603229 48.19466664135888),Trinkbrunnen mit Tränke,5,
TRINKBRUNNENOGD.fid-7573fe0d_18102351456_-635,3169135,POINT (16.376441544292845 48.19857179966282),Trinkbrunnen mit Tränke,5,
TRINKBRUNNENOGD.fid-7573fe0d_18102351456_-634,3169136,POINT (16.37611001848546 48.19837725684725),Zierbrunnen,6,
TRINKBRUNNENOGD.fid-7573fe0d_18102351456_-633,3169137,POINT (16.418368702280425 48.16663818825516),Trinkbrunnen,4,
TRINKBRUNNENOGD.fid-7573fe0d_18102351456_-632,3169138,POINT (16.3424925139561 48.21223307967093),Trinkbrunnen mit Tränke,5,
TRINKBRUNNENOGD.fid-7573fe0d_18102351456_-631,3169139,POINT (16.402833628372658 48.251110042270554),Spielbrunnen,3,
TRINKBRUNNENOGD.fid-7573fe0d_18102351456_-630,3169140,POINT (16.383880276720582 48.26988963514334),Trinkbrunnen,4,
TRINKBRUNNENOGD.fid-7573fe0d_18102351456_-62f,3169141,POINT (16.286706402219547 48.152138458264865),Trinkbrunnen mit Tränke,5,
TRINKBRUNNENOGD.fid-7573fe0d_18102351456_-62e,3169142,POINT (16.309327459542782 48.24122493827155),Trinkbrunnen mit Tränke,5,
TRINKBRUNNENOGD.fid-7573fe0d_18102351456_-62d,3169143,POINT (16.31542619209762 48.20414973468967),Trinkbrunnen,4,
TRINKBRUNNENOGD.fid-7573fe0d_18102351456_-62c,3169144,POINT (16.315450133122713 48.204134516164466),Zierbrunnen,6,
TRINKBRUNNENOGD.fid-7573fe0d_18102351456_-62b,3169145,POINT (16.30478342785738 48.242601090156406),Zierbrunnen,6,
TRINKBRUNNENOGD.fid-7573fe0d_18102351456_-62a,3169146,POINT (16.328355281970197 48.18057549075779),Trinkbrunnen,4,
TRINKBRUNNENOGD.fid-7573fe0d_18102351456_-629,3169147,POINT (16.47906630232098 48.24620755331921),Trinkbrunnen mit Tränke,5,
TRINKBRUNNENOGD.fid-7573fe0d_18102351456_-628,3169148,POINT (16.48884522797454 48.21273540695249),Trinkbrunnen,4,
TRINKBRUNNENOGD.fid-7573fe0d_18102351456_-627,3169149,POINT (16.35224410761133 48.15341038773803),Spielbrunnen,3,
TRINKBRUNNENOGD.fid-7573fe0d_18102351456_-626,3169150,POINT (16.36770212849292 48.18698749917928),Trinkbrunnen mit Tränke,5,
TRINKBRUNNENOGD.fid-7573fe0d_18102351456_-625,3169151,POINT (16.384301613495197 48.17950413667736),Spielbrunnen,3,
TRINKBRUNNENOGD.fid-7573fe0d_18102351456_-624,3169152,POINT (16.30179541950816 48.24302442551112),Trinkbrunnen mit Tränke,5,
TRINKBRUNNENOGD.fid-7573fe0d_18102351456_-623,3169153,POINT (16.35643254464113 48.153284807370596),Trinkbrunnen mit Tränke,5,
TRINKBRUNNENOGD.fid-7573fe0d_18102351456_-622,3169154,POINT (16.448311152327314 48.24865125440453),Trinkbrunnen,4,
TRINKBRUNNENOGD.fid-7573fe0d_18102351456_-621,3169155,POINT (16.334480000275175 48.24044055082359),Trinkbrunnen mit Tränke,5,
TRINKBRUNNENOGD.fid-7573fe0d_18102351456_-620,3169156,POINT (16.333886878391255 48.23898352035746),Trinkbrunnen mit Tränke,5,
TRINKBRUNNENOGD.fid-7573fe0d_18102351456_-61f,3169157,POINT (16.399199970791027 48.26137110011619),Spielbrunnen,3,
TRINKBRUNNENOGD.fid-7573fe0d_18102351456_-61e,3169158,POINT (16.40537316792122 48.145475667994155),Zierbrunnen,6,
TRINKBRUNNENOGD.fid-7573fe0d_18102351456_-61d,3169159,POINT (16.522268185974983 48.213346400433615),Trinkbrunnen,4,
TRINKBRUNNENOGD.fid-7573fe0d_18102351456_-61c,3169160,POINT (16.401186131956873 48.20608021157806),Grundwasserbrunnen,1,
TRINKBRUNNENOGD.fid-7573fe0d_18102351456_-61b,3169161,POINT (16.32592771593872 48.212913790547624),Trinkbrunnen mit Tränke,5,
TRINKBRUNNENOGD.fid-7573fe0d_18102351456_-61a,3169162,POINT (16.39495214544364 48.21678757000052),Grundwasserbrunnen,1,
TRINKBRUNNENOGD.fid-7573fe0d_18102351456_-619,3169163,POINT (16.34254516088712 48.207553675553896),Bodenfontäne,12,
TRINKBRUNNENOGD.fid-7573fe0d_18102351456_-618,3169164,POINT (16.275925098365548 48.173741792866274),Trinkbrunnen,4,
TRINKBRUNNENOGD.fid-7573fe0d_18102351456_-617,3169165,POINT (16.272753333503747 48.164507825370805),Trinkbrunnen,4,
TRINKBRUNNENOGD.fid-7573fe0d_18102351456_-616,3169166,POINT (16.342097682412977 48.19347368871592),Trinkbrunnen mit Tränke,5,
TRINKBRUNNENOGD.fid-7573fe0d_18102351456_-615,3169167,POINT (16.342068995122297 48.19343966516491),Zierbrunnen,6,
TRINKBRUNNENOGD.fid-7573fe0d_18102351456_-614,3169168,POINT (16.34239661850276 48.19411087283183),Trinkbrunnen mit Tränke,5,
TRINKBRUNNENOGD.fid-7573fe0d_18102351456_-613,3169169,POINT (16.34369742352943 48.19369638867731),Trinkbrunnen,4,
TRINKBRUNNENOGD.fid-7573fe0d_18102351456_-612,3169170,POINT (16.343930596233005 48.19382391796183),Trinkbrunnen,4,
TRINKBRUNNENOGD.fid-7573fe0d_18102351456_-611,3169171,POINT (16.3613379923623 48.19875011065267),Trinkbrunnen mit Tränke,5,
TRINKBRUNNENOGD.fid-7573fe0d_18102351456_-610,3169172,POINT (16.361207334129336 48.1987183832137),Spielbrunnen,3,
TRINKBRUNNENOGD.fid-7573fe0d_18102351456_-60f,3169173,POINT (16.361859126772323 48.19817262770838),Trinkbrunnen mit Tränke,5,
TRINKBRUNNENOGD.fid-7573fe0d_18102351456_-60e,3169174,POINT (16.339399541837565 48.18953674093556),Trinkbrunnen,4,
TRINKBRUNNENOGD.fid-7573fe0d_18102351456_-60d,3169175,POINT (16.339189545083656 48.189589874331716),Spielbrunnen,3,
TRINKBRUNNENOGD.fid-7573fe0d_18102351456_-60c,3169176,POINT (16.351848769887965 48.197880267793465),Trinkbrunnen mit Tränke,5,
TRINKBRUNNENOGD.fid-7573fe0d_18102351456_-60b,3169177,POINT (16.353304262004958 48.197859655745106),Trinkbrunnen mit Tränke,5,
TRINKBRUNNENOGD.fid-7573fe0d_18102351456_-60a,3169178,POINT (16.352376258376914 48.19797061426474),Trinkbrunnen mit Tränke,5,
TRINKBRUNNENOGD.fid-7573fe0d_18102351456_-609,3169179,POINT (16.35236556232415 48.197909226147445),Zierbrunnen,6,
TRINKBRUNNENOGD.fid-7573fe0d_18102351456_-608,3169180,POINT (16.352421345742055 48.19726123307405),Trinkbrunnen mit Tränke,5,
TRINKBRUNNENOGD.fid-7573fe0d_18102351456_-607,3169181,POINT (16.35263536672959 48.19758721817929),Trinkbrunnen mit Tränke,5,
TRINKBRUNNENOGD.fid-7573fe0d_18102351456_-606,3169182,POINT (16.35260132015663 48.19740120155616),Spielbrunnen,3,
TRINKBRUNNENOGD.fid-7573fe0d_18102351456_-605,3169183,POINT (16.389584282355155 48.256378379456486),Spielbrunnen,3,
TRINKBRUNNENOGD.fid-7573fe0d_18102351456_-604,3169184,POINT (16.27167366189019 48.19035027970783),Trinkbrunnen,4,
TRINKBRUNNENOGD.fid-7573fe0d_18102351456_-603,3169185,POINT (16.2821405742578 48.1684277453008),Trinkbrunnen,4,
TRINKBRUNNENOGD.fid-7573fe0d_18102351456_-602,3169186,POINT (16.423602023336144 48.2590639046206),Trinkbrunnen,4,
TRINKBRUNNENOGD.fid-7573fe0d_18102351456_-601,3169187,POINT (16.365368176284388 48.19166307469787),Trinkbrunnen mit Tränke,5,
TRINKBRUNNENOGD.fid-7573fe0d_18102351456_-600,3169188,POINT (16.363251339379214 48.18969747178465),Trinkbrunnen,4,
TRINKBRUNNENOGD.fid-7573fe0d_18102351456_-5ff,3169189,POINT (16.363290340623728 48.19642763749578),Trinkbrunnen mit Tränke,5,
TRINKBRUNNENOGD.fid-7573fe0d_18102351456_-5fe,3169190,POINT (16.3689131228113 48.19366914448003),Trinkbrunnen mit Tränke,5,
TRINKBRUNNENOGD.fid-7573fe0d_18102351456_-5fd,3169191,POINT (16.49898066625707 48.25133318309184),Grundwasserbrunnen,1,
TRINKBRUNNENOGD.fid-7573fe0d_18102351456_-5fc,3169192,POINT (16.443694871023425 48.26328039999934),Zierbrunnen,6,
TRINKBRUNNENOGD.fid-7573fe0d_18102351456_-5fb,3169193,POINT (16.39836915069659 48.26442425879659),Trinkbrunnen mit Tränke,5,
TRINKBRUNNENOGD.fid-7573fe0d_18102351456_-5fa,3169194,POINT (16.39833268564411 48.26421784837172),Zierbrunnen,6,
TRINKBRUNNENOGD.fid-7573fe0d_18102351456_-5f9,3169195,POINT (16.345009488388342 48.17979989231084),Spielbrunnen,3,
TRINKBRUNNENOGD.fid-7573fe0d_18102351456_-5f8,3169196,POINT (16.344648678943905 48.18020894225709),Trinkbrunnen mit Tränke,5,
TRINKBRUNNENOGD.fid-7573fe0d_18102351456_-5f7,3169197,POINT (16.317966974470835 48.214404392817784),Trinkbrunnen mit Tränke,5,
TRINKBRUNNENOGD.fid-7573fe0d_18102351456_-5f6,3169198,POINT (16.49053273333314 48.21453868028378),Trinkbrunnen mit Tränke,5,
TRINKBRUNNENOGD.fid-7573fe0d_18102351456_-5f5,3169199,POINT (16.35632195951578 48.193857900523206),Trinkbrunnen mit Tränke,5,
TRINKBRUNNENOGD.fid-7573fe0d_18102351456_-5f4,3169200,POINT (16.354478684747143 48.189768749513135),Trinkbrunnen,4,
TRINKBRUNNENOGD.fid-7573fe0d_18102351456_-5f3,3169201,POINT (16.411704194459112 48.25162227849295),Spielbrunnen,3,
TRINKBRUNNENOGD.fid-7573fe0d_18102351456_-5f2,3169202,POINT (16.360826747859683 48.18970566243536),Trinkbrunnen,4,
TRINKBRUNNENOGD.fid-7573fe0d_18102351456_-5f1,3169203,POINT (16.36154970769882 48.18999087324026),Trinkbrunnen,4,
TRINKBRUNNENOGD.fid-7573fe0d_18102351456_-5f0,3169204,POINT (16.349932581088822 48.185957492784766),Trinkbrunnen mit Tränke,5,
TRINKBRUNNENOGD.fid-7573fe0d_18102351456_-5ef,3169205,POINT (16.34457495558566 48.1879422429339),Trinkbrunnen,4,
TRINKBRUNNENOGD.fid-7573fe0d_18102351456_-5ee,3169206,POINT (16.355340385964023 48.187859910974716),Trinkbrunnen mit Tränke,5,
TRINKBRUNNENOGD.fid-7573fe0d_18102351456_-5ed,3169207,POINT (16.32405999641469 48.16075584403674),Trinkbrunnen,4,
TRINKBRUNNENOGD.fid-7573fe0d_18102351456_-5ec,3169208,POINT (16.323577134982298 48.16030306534008),Trinkbrunnen mit Tränke,5,
TRINKBRUNNENOGD.fid-7573fe0d_18102351456_-5eb,3169209,POINT (16.33308260228835 48.18150780571102),Trinkbrunnen mit Tränke,5,
TRINKBRUNNENOGD.fid-7573fe0d_18102351456_-5ea,3169210,POINT (16.335189243418558 48.17871640866833),Spielbrunnen,3,
TRINKBRUNNENOGD.fid-7573fe0d_18102351456_-5e9,3169211,POINT (16.334668597276615 48.17890365021131),Trinkbrunnen mit Tränke,5,
TRINKBRUNNENOGD.fid-7573fe0d_18102351456_-5e8,3169212,POINT (16.337076024490564 48.18667111895601),Trinkbrunnen mit Tränke,5,
TRINKBRUNNENOGD.fid-7573fe0d_18102351456_-5e7,3169213,POINT (16.320757118998937 48.170920443714266),Trinkbrunnen mit Tränke,5,
TRINKBRUNNENOGD.fid-7573fe0d_18102351456_-5e6,3169214,POINT (16.306118822681505 48.164929373108954),Trinkbrunnen mit Tränke,5,
TRINKBRUNNENOGD.fid-7573fe0d_18102351456_-5e5,3169215,POINT (16.300811000558905 48.16725003280362),Trinkbrunnen mit Tränke,5,
TRINKBRUNNENOGD.fid-7573fe0d_18102351456_-5e4,3169216,POINT (16.339171359978433 48.18128648813375),Trinkbrunnen mit Tränke,5,
TRINKBRUNNENOGD.fid-7573fe0d_18102351456_-5e3,3169217,POINT (16.339568002384123 48.181480459830105),Trinkbrunnen mit Tränke,5,
TRINKBRUNNENOGD.fid-7573fe0d_18102351456_-5e2,3169218,POINT (16.338660930836614 48.178719565662625),Trinkbrunnen mit Tränke,5,
TRINKBRUNNENOGD.fid-7573fe0d_18102351456_-5e1,3169219,POINT (16.319385449348754 48.15877303208388),Trinkbrunnen,4,
TRINKBRUNNENOGD.fid-7573fe0d_18102351456_-5e0,3169220,POINT (16.33122875184734 48.17361197141085),Zierbrunnen,6,
TRINKBRUNNENOGD.fid-7573fe0d_18102351456_-5df,3169221,POINT (16.35651925487078 48.194114174908954),Trinkbrunnen,4,
TRINKBRUNNENOGD.fid-7573fe0d_18102351456_-5de,3169222,POINT (16.381743163000163 48.20382728393356),Trinkbrunnen,4,
TRINKBRUNNENOGD.fid-7573fe0d_18102351456_-5dd,3169223,POINT (16.41940044356396 48.17389017084907),Trinkbrunnen mit Tränke,5,
TRINKBRUNNENOGD.fid-7573fe0d_18102351456_-5dc,3169224,POINT (16.3178010397036 48.17920755160365),Spielbrunnen,3,
TRINKBRUNNENOGD.fid-7573fe0d_18102351456_-5db,3169225,POINT (16.424827441944377 48.15697479020516),Trinkbrunnen mit Tränke,5,
TRINKBRUNNENOGD.fid-7573fe0d_18102351456_-5da,3169226,POINT (16.424770790951904 48.157404924133225),Trinkbrunnen mit Tränke,5,
TRINKBRUNNENOGD.fid-7573fe0d_18102351456_-5d9,3169227,POINT (16.42453766533924 48.15766568094723),Spielbrunnen,3,
TRINKBRUNNENOGD.fid-7573fe0d_18102351456_-5d8,3169228,POINT (16.417809352373204 48.16744366955528),Trinkbrunnen mit Tränke,5,
TRINKBRUNNENOGD.fid-7573fe0d_18102351456_-5d7,3169229,POINT (16.425668214805206 48.17652845948522),Trinkbrunnen mit Tränke,5,
TRINKBRUNNENOGD.fid-7573fe0d_18102351456_-5d6,3169230,POINT (16.469792697633 48.15472383788651),Trinkbrunnen mit Tränke,5,
TRINKBRUNNENOGD.fid-7573fe0d_18102351456_-5d5,3169231,POINT (16.46937197555784 48.15457394296936),Trinkbrunnen mit Tränke,5,
TRINKBRUNNENOGD.fid-7573fe0d_18102351456_-5d4,3169232,POINT (16.460208198359332 48.1539554490894),Trinkbrunnen mit Tränke,5,
TRINKBRUNNENOGD.fid-7573fe0d_18102351456_-5d3,3169233,POINT (16.461610483389798 48.15331840398914),Trinkbrunnen mit Tränke,5,
TRINKBRUNNENOGD.fid-7573fe0d_18102351456_-5d2,3169234,POINT (16.46624536440992 48.15176579016487),Trinkbrunnen mit Tränke,5,
TRINKBRUNNENOGD.fid-7573fe0d_18102351456_-5d1,3169235,POINT (16.443209703539388 48.16118418251831),Trinkbrunnen,4,
TRINKBRUNNENOGD.fid-7573fe0d_18102351456_-5d0,3169236,POINT (16.442050101899607 48.16139665595574),Trinkbrunnen,4,
TRINKBRUNNENOGD.fid-7573fe0d_18102351456_-5cf,3169237,POINT (16.443731624791873 48.16104244915323),Trinkbrunnen mit Tränke,5,
TRINKBRUNNENOGD.fid-7573fe0d_18102351456_-5ce,3169238,POINT (16.411018366168573 48.173585273210655),Trinkbrunnen,4,
TRINKBRUNNENOGD.fid-7573fe0d_18102351456_-5cd,3169239,POINT (16.378320602624246 48.1708087845299),Trinkbrunnen mit Tränke,5,
TRINKBRUNNENOGD.fid-7573fe0d_18102351456_-5cc,3169240,POINT (16.408800385381756 48.17197779869986),Trinkbrunnen mit Tränke,5,
TRINKBRUNNENOGD.fid-7573fe0d_18102351456_-5cb,3169241,POINT (16.410472385035373 48.1719663045751),Trinkbrunnen mit Tränke,5,
TRINKBRUNNENOGD.fid-7573fe0d_18102351456_-5ca,3169242,POINT (16.410085860529627 48.172528593232805),Zierbrunnen,6,
TRINKBRUNNENOGD.fid-7573fe0d_18102351456_-5c9,3169243,POINT (16.411057823477005 48.16929118554187),Trinkbrunnen mit Tränke,5,
TRINKBRUNNENOGD.fid-7573fe0d_18102351456_-5c8,3169244,POINT (16.47196697549889 48.15716086403137),Spielbrunnen,3,
TRINKBRUNNENOGD.fid-7573fe0d_18102351456_-5c7,3169245,POINT (16.47179887505768 48.15998291913503),Spielbrunnen,3,
TRINKBRUNNENOGD.fid-7573fe0d_18102351456_-5c6,3169246,POINT (16.471808586015822 48.16014575741137),Trinkbrunnen mit Tränke,5,
TRINKBRUNNENOGD.fid-7573fe0d_18102351456_-5c5,3169247,POINT (16.418619049191825 48.169013053381455),Trinkbrunnen mit Tränke,5,
TRINKBRUNNENOGD.fid-7573fe0d_18102351456_-5c4,3169248,POINT (16.41418595155236 48.171212451053776),Trinkbrunnen mit Tränke,5,
TRINKBRUNNENOGD.fid-7573fe0d_18102351456_-5c3,3169249,POINT (16.41488231089912 48.17048551160255),Trinkbrunnen mit Tränke,5,
TRINKBRUNNENOGD.fid-7573fe0d_18102351456_-5c2,3169250,POINT (16.417178893640138 48.18047738137195),Trinkbrunnen mit Tränke,5,
TRINKBRUNNENOGD.fid-7573fe0d_18102351456_-5c1,3169251,POINT (16.378311809878902 48.179281157019695),Trinkbrunnen,4,
TRINKBRUNNENOGD.fid-7573fe0d_18102351456_-5c0,3169252,POINT (16.37535647393168 48.178451186925905),Trinkbrunnen mit Tränke,5,
TRINKBRUNNENOGD.fid-7573fe0d_18102351456_-5bf,3169253,POINT (16.38170321918515 48.16431978595129),Trinkbrunnen,4,
TRINKBRUNNENOGD.fid-7573fe0d_18102351456_-5be,3169254,POINT (16.378942496005525 48.202973133774165),Zierbrunnen,6,
TRINKBRUNNENOGD.fid-7573fe0d_18102351456_-5bd,3169255,POINT (16.378723441608994 48.20451539170611),Zierbrunnen,6,
TRINKBRUNNENOGD.fid-7573fe0d_18102351456_-5bc,3169256,POINT (16.372851318155455 48.2154013666781),Trinkbrunnen mit Tränke,5,
TRINKBRUNNENOGD.fid-7573fe0d_18102351456_-5bb,3169257,POINT (16.42038356770554 48.29740681508159),Trinkbrunnen mit Tränke,5,
TRINKBRUNNENOGD.fid-7573fe0d_18102351456_-5ba,3169258,POINT (16.40565413516475 48.27655287594906),Trinkbrunnen mit Tränke,5,
TRINKBRUNNENOGD.fid-7573fe0d_18102351456_-5b9,3169259,POINT (16.405801776885607 48.27699034110193),Spielbrunnen,3,
TRINKBRUNNENOGD.fid-7573fe0d_18102351456_-5b8,3169260,POINT (16.448784917733278 48.269258533421834),Trinkbrunnen,4,
TRINKBRUNNENOGD.fid-7573fe0d_18102351456_-5b7,3169261,POINT (16.416684621127096 48.29471714869519),Trinkbrunnen,4,
TRINKBRUNNENOGD.fid-7573fe0d_18102351456_-5b6,3169262,POINT (16.41722427393565 48.29463590001861),Trinkbrunnen,4,
TRINKBRUNNENOGD.fid-7573fe0d_18102351456_-5b5,3169263,POINT (16.454875076039627 48.270198803796426),Trinkbrunnen mit Tränke,5,
TRINKBRUNNENOGD.fid-7573fe0d_18102351456_-5b4,3169264,POINT (16.44792461505604 48.27215999610726),Trinkbrunnen mit Tränke,5,
TRINKBRUNNENOGD.fid-7573fe0d_18102351456_-5b3,3169265,POINT (16.44906922346426 48.27184056704861),Trinkbrunnen,4,
TRINKBRUNNENOGD.fid-7573fe0d_18102351456_-5b2,3169266,POINT (16.41244481764952 48.27750644263392),Trinkbrunnen mit Tränke,5,
TRINKBRUNNENOGD.fid-7573fe0d_18102351456_-5b1,3169267,POINT (16.3777397717893 48.16671955752903),Trinkbrunnen mit Tränke,5,
TRINKBRUNNENOGD.fid-7573fe0d_18102351456_-5b0,3169268,POINT (16.352041121777685 48.1694539217845),Spielbrunnen,3,
TRINKBRUNNENOGD.fid-7573fe0d_18102351456_-5af,3169269,POINT (16.352072508504016 48.16940079592525),Trinkbrunnen mit Tränke,5,
TRINKBRUNNENOGD.fid-7573fe0d_18102351456_-5ae,3169270,POINT (16.384003970467827 48.16787964810339),Trinkbrunnen mit Tränke,5,
TRINKBRUNNENOGD.fid-7573fe0d_18102351456_-5ad,3169271,POINT (16.38467619426558 48.16708320963543),Trinkbrunnen,4,
TRINKBRUNNENOGD.fid-7573fe0d_18102351456_-5ac,3169272,POINT (16.371291238716662 48.17289550683998),Zierbrunnen,6,
TRINKBRUNNENOGD.fid-7573fe0d_18102351456_-5ab,3169273,POINT (16.37118079486036 48.17342875634213),Spielbrunnen,3,
TRINKBRUNNENOGD.fid-7573fe0d_18102351456_-5aa,3169274,POINT (16.37164715152104 48.17334473923179),Trinkbrunnen mit Tränke,5,
TRINKBRUNNENOGD.fid-7573fe0d_18102351456_-5a9,3169275,POINT (16.368724470364977 48.17810466149246),Trinkbrunnen mit Tränke,5,
TRINKBRUNNENOGD.fid-7573fe0d_18102351456_-5a8,3169276,POINT (16.354156302943906 48.17481578514357),Trinkbrunnen mit Tränke,5,
TRINKBRUNNENOGD.fid-7573fe0d_18102351456_-5a7,3169277,POINT (16.354732009645552 48.17563612084331),Trinkbrunnen mit Tränke,5,
TRINKBRUNNENOGD.fid-7573fe0d_18102351456_-5a6,3169278,POINT (16.366269389501408 48.181378422828075),Trinkbrunnen mit Tränke,5,
TRINKBRUNNENOGD.fid-7573fe0d_18102351456_-5a5,3169279,POINT (16.36537857771595 48.180310032032885),Trinkbrunnen mit Tränke,5,
TRINKBRUNNENOGD.fid-7573fe0d_18102351456_-5a4,3169280,POINT (16.402865951852306 48.15084542240599),Zierbrunnen,6,
TRINKBRUNNENOGD.fid-7573fe0d_18102351456_-5a3,3169281,POINT (16.40233159875135 48.150898894446996),Zierbrunnen,6,
TRINKBRUNNENOGD.fid-7573fe0d_18102351456_-5a2,3169282,POINT (16.403052383116492 48.15040150492038),Zierbrunnen,6,
TRINKBRUNNENOGD.fid-7573fe0d_18102351456_-5a1,3169283,POINT (16.40662685501657 48.14495390406865),Zierbrunnen,6,
TRINKBRUNNENOGD.fid-7573fe0d_18102351456_-5a0,3169284,POINT (16.369212046240243 48.19974874050648),Zierbrunnen,6,
TRINKBRUNNENOGD.fid-7573fe0d_18102351456_-59f,3169285,POINT (16.3797072148512 48.20418271254115),Trinkbrunnen,4,
TRINKBRUNNENOGD.fid-7573fe0d_18102351456_-59e,3169286,POINT (16.38069527386284 48.20485214026743),Zierbrunnen,6,
TRINKBRUNNENOGD.fid-7573fe0d_18102351456_-59d,3169287,POINT (16.355730979799098 48.20370491497297),Trinkbrunnen,4,
TRINKBRUNNENOGD.fid-7573fe0d_18102351456_-59c,3169288,POINT (16.340669316611365 48.20762116908671),Trinkbrunnen mit Tränke,5,
TRINKBRUNNENOGD.fid-7573fe0d_18102351456_-59b,3169289,POINT (16.34651662537697 48.20456896985916),Trinkbrunnen mit Tränke,5,
TRINKBRUNNENOGD.fid-7573fe0d_18102351456_-59a,3169290,POINT (16.34295619442216 48.20752581607172),Trinkbrunnen,4,
