cidade;ano;pib;mat1517;veiculos;motos;populacao;pop1519;pop2024;pop2529;pop60p;ibge;jovem;pjovem;pmotos;pmat;rodovia
Santa Ernestina;2013;75742,78;79,14;2528;368;5552;474;524;547;10,55;3546504;1545;27,8278098;14,55696203;1,425432277;15
Santa Ernestina;2014;74170,53;75,09;2673;385;5546;459;504;555;10,85;3546504;1518;27,37107825;14,40329218;1,353948792;15
Santa Ernestina;2015;;64,89;2786;417;5541;446;482;551;11,17;3546504;1479;26,69193286;14,96769562;1,171088251;15
Santa Ernestina;2016;;;;;5538;430;470;541;11,54;3546504;1441;26,02022391;;;15
Santa Fé do Sul;2010;541138,46;83,16;16389;4352;29215;2247;2432;2313;16,54;3546603;6992;23,93291118;26,55439624;0,284648297;30
Santa Fé do Sul;2011;652605,19;83,67;17828;4873;29381;2221;2413;2360;16,87;3546603;6994;23,80449951;27,33340812;0,284775876;30
Santa Fé do Sul;2012;729027,51;85,28;19339;5292;29548;2194;2402;2405;17,2;3546603;7001;23,69365101;27,3643932;0,288615135;30
Santa Fé do Sul;2013;793439,11;82,5;20917;5666;29717;2167;2385;2452;17,52;3546603;7004;23,56900091;27,08801453;0,277618871;30
Santa Fé do Sul;2014;865951,95;87,94;22098;6027;29886;2140;2368;2496;17,85;3546603;7004;23,43572241;27,27396144;0,294251489;30
Santa Fé do Sul;2015;;82,92;23170;6283;30056;2112;2349;2547;18,18;3546603;7008;23,31647591;27,11696159;0,275885015;30
Santa Fé do Sul;2016;;;;;30204;2021;2322;2528;18,57;3546603;6871;22,74864256;;;30
Santa Gertrudes;2010;901671,66;66,48;10223;2817;21579;1804;2153;2260;8,34;3546702;6217;28,81041754;27,55551208;0,308077297;23
Santa Gertrudes;2011;1079952,08;65,65;11271;3088;22033;1844;2126;2289;8,49;3546702;6259;28,40738892;27,39774643;0,297962148;23
Santa Gertrudes;2012;1220042,44;70,59;12264;3385;22495;1884;2097;2318;8,66;3546702;6299;28,00177817;27,60110894;0,313803067;23
Santa Gertrudes;2013;1341433,59;71,64;13093;3565;22968;1924;2069;2342;8,83;3546702;6335;27,58185301;27,22828993;0,311912226;23
Santa Gertrudes;2014;1556583,54;70,9;13874;3784;23450;1964;2042;2365;8,99;3546702;6371;27,1684435;27,27403777;0,302345416;23
Santa Gertrudes;2015;;63,28;14558;4027;23943;2004;2014;2388;9,17;3546702;6406;26,75521029;27,66176673;0,264294366;23
Santa Gertrudes;2016;;;;;24376;1968;2053;2359;9,4;3546702;6380;26,1732852;;;23
Santa Isabel;2010;949379,5;77,5;17799;4426;50393;4331;4385;4380;10,82;3546801;13096;25,98773639;24,86656554;0,153791201;42
Santa Isabel;2011;983498,03;77,76;20118;4887;50879;4371;4386;4391;11,16;3546801;13148;25,84170286;24,29167909;0,152833192;42
Santa Isabel;2012;1173062,04;79,55;22064;5195;51372;4407;4384;4403;11,51;3546801;13194;25,68325158;23,54514141;0,154850892;42
Santa Isabel;2013;1318219,74;81,63;23647;5411;51868;4445;4380;4410;11,87;3546801;13235;25,51669623;22,88239523;0,157380273;42
